                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0953,                 1.5449,                  1.306,                 0.4562,                0.53946,                0.49645,                0.34124,                 1.2045,                 1.6119,                 1.3881,             0.00020101,             0.00020101,             0.00020101
                     36,                 1.0904,                  1.514,                 1.3001,                0.55962,                 0.4114,                0.50244,                 0.3493,                  1.181,                 1.5872,                 1.3639,             0.00019801,             0.00019801,             0.00019801
                     37,                 1.0575,                 1.4692,                 1.2913,                0.48057,                 0.5285,                0.52978,                0.36769,                  1.196,                  1.546,                  1.369,             0.00019501,             0.00019501,             0.00019501
                     38,                 1.1067,                 1.4908,                 1.3255,                0.48715,                0.55776,                0.53642,                0.37561,                 1.1916,                 1.5358,                 1.3787,             0.00019201,             0.00019201,             0.00019201
                     39,                 1.1119,                 1.4637,                 1.3135,                0.48543,                0.52631,                0.52404,                0.36108,                 1.1891,                 1.5347,                 1.3681,             0.00018901,             0.00018901,             0.00018901
                     40,                 1.0823,                  1.456,                 1.3012,                0.52593,                0.51805,                 0.5387,                0.37983,                 1.1918,                 1.5289,                 1.3644,             0.00018601,             0.00018601,             0.00018601
                     41,                 1.0508,                 1.4259,                 1.2851,                0.52044,                  0.475,                0.52559,                0.37066,                 1.2044,                 1.5837,                 1.3782,             0.00018301,             0.00018301,             0.00018301
                     42,                 1.0858,                 1.4196,                 1.3002,                0.51903,                0.55023,                0.55577,                0.38929,                 1.1961,                  1.507,                  1.382,             0.00018001,             0.00018001,             0.00018001
                     43,                 1.0705,                 1.4061,                 1.2921,                0.50489,                0.52867,                 0.5363,                0.37412,                 1.1836,                 1.4994,                 1.3804,             0.00017701,             0.00017701,             0.00017701
                     44,                 1.0534,                 1.3472,                 1.2813,                0.51249,                 0.5266,                0.54421,                  0.379,                 1.1872,                 1.5302,                 1.3709,             0.00017401,             0.00017401,             0.00017401
                     45,                 1.0616,                 1.3608,                 1.2844,                0.52825,                0.51252,                 0.5318,                0.37055,                  1.202,                 1.5526,                 1.3829,             0.00017101,             0.00017101,             0.00017101
                     46,                 1.0692,                 1.3713,                 1.2831,                0.53671,                 0.5103,                0.52876,                0.37321,                  1.186,                 1.5651,                 1.3696,             0.00016801,             0.00016801,             0.00016801
                     47,                 1.0528,                 1.3458,                 1.2751,                0.56939,                0.46938,                0.53417,                0.37135,                 1.1993,                  1.513,                 1.3743,             0.00016501,             0.00016501,             0.00016501
                     48,                 1.0342,                 1.3147,                 1.2687,                0.53023,                 0.4896,                0.52507,                0.36548,                 1.2043,                  1.584,                 1.3864,             0.00016201,             0.00016201,             0.00016201
                     49,                 1.0483,                 1.3195,                 1.2759,                0.49825,                0.51946,                0.53846,                0.37226,                 1.2131,                 1.5962,                 1.3871,             0.00015901,             0.00015901,             0.00015901
                     50,                 1.0353,                 1.3288,                 1.2691,                0.45555,                0.53482,                0.51654,                0.35859,                  1.196,                 1.5508,                 1.3751,             0.00015601,             0.00015601,             0.00015601
                     51,                 1.0334,                 1.3101,                  1.259,                0.55117,                0.52119,                0.53736,                0.37434,                  1.198,                 1.5773,                 1.3661,             0.00015301,             0.00015301,             0.00015301
                     52,                 1.0345,                 1.2843,                 1.2666,                0.54491,                 0.4847,                0.52808,                0.36837,                 1.1945,                 1.5931,                 1.3644,             0.00015002,             0.00015002,             0.00015002
                     53,                  1.038,                 1.2806,                 1.2643,                0.49567,                0.53512,                0.54421,                0.38314,                 1.1851,                 1.5728,                  1.372,             0.00014702,             0.00014702,             0.00014702
                     54,                 1.0177,                 1.2521,                 1.2529,                 0.5442,                0.49087,                0.54375,                0.38813,                 1.1894,                 1.4959,                 1.3776,             0.00014402,             0.00014402,             0.00014402
                     55,                 1.0237,                 1.2458,                   1.25,                0.50169,                0.53065,                0.52992,                 0.3825,                 1.1756,                 1.5862,                 1.3452,             0.00014102,             0.00014102,             0.00014102
                     56,                 1.0311,                  1.255,                 1.2625,                0.54937,                0.47264,                0.52905,                0.37493,                 1.1966,                 1.5513,                 1.3777,             0.00013802,             0.00013802,             0.00013802
                     57,                 1.0144,                 1.2253,                 1.2434,                0.54324,                0.51581,                0.54726,                0.39725,                 1.1797,                 1.5007,                 1.3536,             0.00013502,             0.00013502,             0.00013502
                     58,                 1.0074,                 1.1932,                 1.2448,                0.48641,                0.51349,                0.53959,                0.38436,                 1.1854,                 1.4846,                   1.36,             0.00013202,             0.00013202,             0.00013202
                     59,                0.99282,                 1.2025,                 1.2427,                0.52383,                0.50889,                 0.5251,                0.37456,                 1.1859,                 1.5601,                 1.3633,             0.00012902,             0.00012902,             0.00012902
                     60,                 1.0035,                 1.1833,                 1.2453,                 0.5037,                0.57202,                0.55672,                0.39376,                 1.1861,                 1.4657,                 1.3663,             0.00012602,             0.00012602,             0.00012602
                     61,                 0.9981,                 1.1776,                 1.2513,                0.54075,                0.57501,                0.56811,                0.40333,                  1.191,                 1.4643,                 1.3615,             0.00012302,             0.00012302,             0.00012302
                     62,                 1.0032,                 1.1811,                 1.2466,                0.56728,                0.53607,                0.56342,                0.40015,                 1.1896,                  1.474,                 1.3692,             0.00012002,             0.00012002,             0.00012002
                     63,                 1.0024,                 1.1812,                 1.2463,                0.52931,                0.54758,                0.55469,                0.38775,                 1.1906,                 1.5225,                 1.3648,             0.00011702,             0.00011702,             0.00011702
                     64,                 1.0232,                 1.1777,                 1.2528,                0.52774,                0.54285,                0.55778,                0.39202,                 1.1908,                 1.4659,                 1.3569,             0.00011402,             0.00011402,             0.00011402
                     65,                0.99135,                 1.1421,                  1.235,                0.51591,                0.56491,                0.55898,                0.39732,                 1.1882,                 1.5053,                 1.3615,             0.00011102,             0.00011102,             0.00011102
                     66,                  0.994,                 1.1683,                 1.2425,                0.56011,                 0.5241,                0.56042,                0.39872,                  1.195,                 1.5061,                 1.3643,             0.00010802,             0.00010802,             0.00010802
                     67,                0.98987,                 1.1427,                  1.228,                0.54803,                0.56096,                0.58649,                0.41921,                 1.1722,                 1.4566,                 1.3455,             0.00010502,             0.00010502,             0.00010502
                     68,                0.98697,                  1.107,                 1.2235,                0.57963,                 0.5329,                0.57046,                0.40437,                 1.1996,                 1.4673,                 1.3703,             0.00010202,             0.00010202,             0.00010202
                     69,                 1.0037,                 1.1328,                 1.2411,                0.52162,                0.57191,                0.56778,                0.40269,                  1.195,                 1.4717,                 1.3735,              9.902e-05,              9.902e-05,              9.902e-05
                     70,                0.97477,                 1.1147,                 1.2265,                0.59097,                0.49604,                0.56141,                  0.397,                 1.1977,                 1.4938,                 1.3751,             9.6021e-05,             9.6021e-05,             9.6021e-05
                     71,                0.97946,                 1.1007,                 1.2232,                0.53563,                0.57867,                0.56762,                0.39708,                 1.1874,                 1.4811,                 1.3634,             9.3021e-05,             9.3021e-05,             9.3021e-05
                     72,                 0.9656,                 1.0706,                 1.2141,                0.53944,                0.55535,                0.58157,                0.41591,                 1.1989,                 1.4722,                 1.3833,             9.0021e-05,             9.0021e-05,             9.0021e-05
                     73,                0.97092,                 1.0924,                 1.2235,                0.53604,                0.56552,                0.58455,                0.41461,                 1.1886,                 1.4788,                 1.3728,             8.7022e-05,             8.7022e-05,             8.7022e-05
                     74,                0.95865,                 1.0928,                 1.2215,                0.54407,                0.55297,                0.57846,                0.40841,                 1.1953,                 1.5031,                  1.372,             8.4022e-05,             8.4022e-05,             8.4022e-05
                     75,                0.95695,                 1.0621,                 1.2162,                0.53721,                0.55589,                 0.5706,                0.40144,                 1.1918,                 1.5123,                 1.3771,             8.1022e-05,             8.1022e-05,             8.1022e-05
                     76,                0.95625,                   1.07,                 1.2173,                0.53139,                0.58486,                0.58807,                0.42116,                 1.1946,                 1.4652,                 1.3653,             7.8023e-05,             7.8023e-05,             7.8023e-05
                     77,                0.96024,                 1.0574,                 1.2119,                0.58519,                 0.5291,                0.57319,                0.40962,                 1.1818,                 1.4848,                 1.3566,             7.5023e-05,             7.5023e-05,             7.5023e-05
                     78,                0.94797,                 1.0553,                 1.2096,                0.55122,                0.53526,                0.57208,                0.40648,                  1.191,                 1.4945,                 1.3632,             7.2023e-05,             7.2023e-05,             7.2023e-05
                     79,                0.95697,                 1.0642,                 1.2124,                0.56517,                0.53162,                0.57014,                 0.4037,                 1.1948,                 1.4876,                 1.3687,             6.9023e-05,             6.9023e-05,             6.9023e-05
                     80,                0.95319,                 1.0524,                 1.2107,                0.58291,                0.51368,                0.57398,                0.40984,                 1.2012,                 1.4845,                 1.3628,             6.6024e-05,             6.6024e-05,             6.6024e-05
                     81,                 0.9478,                  1.039,                 1.2099,                0.56411,                0.52433,                0.57724,                0.40768,                 1.1996,                 1.4599,                 1.3684,             6.3024e-05,             6.3024e-05,             6.3024e-05
                     82,                0.94618,                  1.006,                 1.2049,                0.56995,                0.52984,                  0.571,                0.40031,                 1.2018,                 1.4931,                 1.3776,             6.0024e-05,             6.0024e-05,             6.0024e-05
                     83,                0.94981,                 1.0401,                  1.205,                0.56726,                0.53728,                0.56656,                0.39618,                 1.2097,                 1.4946,                 1.3783,             5.7025e-05,             5.7025e-05,             5.7025e-05
                     84,                0.94204,                  1.008,                 1.1997,                0.60972,                 0.4898,                0.56639,                0.40325,                 1.1982,                 1.5056,                 1.3667,             5.4025e-05,             5.4025e-05,             5.4025e-05
                     85,                0.93735,                0.99668,                 1.1985,                0.57315,                0.54441,                0.57218,                0.40712,                 1.2012,                 1.4891,                 1.3675,             5.1025e-05,             5.1025e-05,             5.1025e-05
                     86,                0.94574,                 1.0336,                 1.2044,                0.62242,                0.51799,                 0.5682,                0.40385,                 1.2028,                 1.5031,                 1.3696,             4.8026e-05,             4.8026e-05,             4.8026e-05
                     87,                0.94611,                 1.0127,                 1.2043,                0.61332,                0.50318,                0.57419,                0.40637,                 1.2102,                 1.5003,                 1.3805,             4.5026e-05,             4.5026e-05,             4.5026e-05
                     88,                0.93904,                0.99724,                 1.1989,                0.60095,                0.52717,                0.57335,                0.40947,                 1.1896,                  1.488,                 1.3582,             4.2026e-05,             4.2026e-05,             4.2026e-05
                     89,                0.93205,                 1.0034,                 1.1981,                0.56455,                0.54076,                 0.5675,                 0.4013,                 1.1962,                 1.5125,                 1.3712,             3.9026e-05,             3.9026e-05,             3.9026e-05
                     90,                0.92219,                0.99431,                 1.1928,                0.60477,                0.50958,                  0.578,                 0.4078,                 1.1992,                 1.4896,                  1.368,             3.6027e-05,             3.6027e-05,             3.6027e-05
                     91,                0.90502,                0.94314,                  1.201,                0.53523,                0.56394,                0.57005,                0.40433,                 1.1994,                 1.4894,                 1.3747,             3.3027e-05,             3.3027e-05,             3.3027e-05
                     92,                0.87138,                0.86617,                 1.1737,                0.53389,                0.56288,                0.57762,                0.40897,                 1.1918,                 1.4902,                 1.3701,             3.0027e-05,             3.0027e-05,             3.0027e-05
                     93,                0.86313,                0.83114,                 1.1655,                0.52089,                 0.5901,                0.57461,                0.40727,                  1.192,                 1.4982,                 1.3645,             2.7028e-05,             2.7028e-05,             2.7028e-05
                     94,                0.85717,                0.81424,                 1.1606,                0.55185,                0.55761,                0.57885,                0.41237,                 1.1885,                 1.4932,                 1.3661,             2.4028e-05,             2.4028e-05,             2.4028e-05
                     95,                0.85453,                0.81177,                 1.1511,                0.55774,                0.56273,                0.57862,                0.41414,                 1.1982,                 1.4969,                  1.373,             2.1028e-05,             2.1028e-05,             2.1028e-05
                     96,                0.85258,                0.81181,                 1.1564,                0.54256,                0.56314,                0.57364,                0.40661,                 1.1941,                 1.5046,                 1.3694,             1.8029e-05,             1.8029e-05,             1.8029e-05
                     97,                0.84985,                0.78366,                 1.1537,                0.58719,                0.50912,                 0.5773,                0.40435,                 1.1966,                    1.5,                 1.3672,             1.5029e-05,             1.5029e-05,             1.5029e-05
                     98,                0.84206,                0.79167,                 1.1508,                0.56104,                0.53687,                0.57578,                0.40613,                 1.1949,                 1.5063,                 1.3711,             1.2029e-05,             1.2029e-05,             1.2029e-05
                     99,                0.84427,                0.79531,                 1.1522,                0.53101,                0.56506,                0.57684,                0.40735,                 1.1938,                 1.5093,                 1.3685,             9.0294e-06,             9.0294e-06,             9.0294e-06
                    100,                0.82092,                 0.7613,                 1.1392,                0.58541,                0.52232,                0.57905,                0.41001,                 1.1915,                 1.5032,                 1.3678,             6.0297e-06,             6.0297e-06,             6.0297e-06
